kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Ikast,1,Ejstrup,A_Listestemmer,Listestemmer,Socialdemokratiet,37
Ikast,1,Ejstrup,A_Kasper_Pauli_Pedersen,Kasper Pauli Pedersen,Socialdemokratiet,18
Ikast,1,Ejstrup,A_Søs_Philipsen,Søs Philipsen,Socialdemokratiet,7
Ikast,1,Ejstrup,A_Birthe_Sørensen,Birthe Sørensen,Socialdemokratiet,3
Ikast,1,Ejstrup,A_H.C._Jørgensen,H.C. Jørgensen,Socialdemokratiet,4
Ikast,1,Ejstrup,A_Kirsten_Hoffmann,Kirsten Hoffmann,Socialdemokratiet,132
Ikast,1,Ejstrup,A_Mustafa_Arslan,Mustafa Arslan,Socialdemokratiet,1
Ikast,1,Ejstrup,A_Yildiz_Kibar,Yildiz Kibar,Socialdemokratiet,0
Ikast,1,Ejstrup,A_Joan_Højlund,Joan Højlund,Socialdemokratiet,2
Ikast,1,Ejstrup,A_Helle_Regine_Drongstrup,Helle Regine Drongstrup,Socialdemokratiet,62
Ikast,1,Ejstrup,A_Henrik_Christensen,Henrik Christensen,Socialdemokratiet,3
Ikast,1,Ejstrup,A_Inge_Dinis,Inge Dinis,Socialdemokratiet,2
Ikast,1,Ejstrup,A_Peter_Bjerregaard,Peter Bjerregaard,Socialdemokratiet,0
Ikast,1,Ejstrup,A_Eddie_Sørensen,Eddie Sørensen,Socialdemokratiet,0
Ikast,1,Ejstrup,A_Jacob_Rosen_Madsen,Jacob Rosen Madsen,Socialdemokratiet,14
Ikast,1,Ejstrup,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,20
Ikast,1,Ejstrup,C_Annette_Mosegaard,Annette Mosegaard,Det Konservative Folkeparti,50
Ikast,1,Ejstrup,C_Kirsten_York_Helms,Kirsten York Helms,Det Konservative Folkeparti,3
Ikast,1,Ejstrup,C_Heinrich_Rune,Heinrich Rune,Det Konservative Folkeparti,1
Ikast,1,Ejstrup,C_Dina_Raabjerg,Dina Raabjerg,Det Konservative Folkeparti,3
Ikast,1,Ejstrup,C_Annette_Øgaard,Annette Øgaard,Det Konservative Folkeparti,177
Ikast,1,Ejstrup,C_Peter_Søgaard,Peter Søgaard,Det Konservative Folkeparti,4
Ikast,1,Ejstrup,C_Morten_Munk_Østergaard,Morten Munk Østergaard,Det Konservative Folkeparti,0
Ikast,1,Ejstrup,C_Per_Abildskov,Per Abildskov,Det Konservative Folkeparti,0
Ikast,1,Ejstrup,C_Siff_Tang_Lassen,Siff Tang Lassen,Det Konservative Folkeparti,8
Ikast,1,Ejstrup,C_Henrik_Overgaard,Henrik Overgaard,Det Konservative Folkeparti,2
Ikast,1,Ejstrup,C_Hanne_Bang_Pedersen,Hanne Bang Pedersen,Det Konservative Folkeparti,4
Ikast,1,Ejstrup,C_Ditte_Mundbjerg_Jørgensen,Ditte Mundbjerg Jørgensen,Det Konservative Folkeparti,1
Ikast,1,Ejstrup,D_Listestemmer,Listestemmer,Nye Borgerlige,21
Ikast,1,Ejstrup,D_Bruno_Ostenfeldt_Jensen,Bruno Ostenfeldt Jensen,Nye Borgerlige,34
Ikast,1,Ejstrup,D_Tommy_Høgh_Vestergaard,Tommy Høgh Vestergaard,Nye Borgerlige,4
Ikast,1,Ejstrup,F_Listestemmer,Listestemmer,SF - Socialistisk Folkeparti,9
Ikast,1,Ejstrup,F_Emma_Thorup_Jacobsen,Emma Thorup Jacobsen,SF - Socialistisk Folkeparti,17
Ikast,1,Ejstrup,F_Karina_Gudmann,Karina Gudmann,SF - Socialistisk Folkeparti,0
Ikast,1,Ejstrup,K_Listestemmer,Listestemmer,Kristendemokraterne,9
Ikast,1,Ejstrup,K_Jens_Erik_Skals,Jens Erik Skals,Kristendemokraterne,45
Ikast,1,Ejstrup,K_Finn_Vestergaard,Finn Vestergaard,Kristendemokraterne,2
Ikast,1,Ejstrup,K_Willy_Højgård,Willy Højgård,Kristendemokraterne,0
Ikast,1,Ejstrup,K_Torsteen_Nielsen,Torsteen Nielsen,Kristendemokraterne,1
Ikast,1,Ejstrup,K_Svend-Erik_Hansen,Svend-Erik Hansen,Kristendemokraterne,0
Ikast,1,Ejstrup,K_Danny_Bonn_Pedersen,Danny Bonn Pedersen,Kristendemokraterne,2
Ikast,1,Ejstrup,K_Albert_Poulsen,Albert Poulsen,Kristendemokraterne,0
Ikast,1,Ejstrup,K_Annet_Mesnickow,Annet Mesnickow,Kristendemokraterne,0
Ikast,1,Ejstrup,L_Listestemmer,Listestemmer,Fælleslisten,6
Ikast,1,Ejstrup,L_Morten_Bak,Morten Bak,Fælleslisten,4
Ikast,1,Ejstrup,L_Lotte_Stoltenborg,Lotte Stoltenborg,Fælleslisten,10
Ikast,1,Ejstrup,L_Morten_Colbert,Morten Colbert,Fælleslisten,6
Ikast,1,Ejstrup,L_Rune_Lyager,Rune Lyager,Fælleslisten,2
Ikast,1,Ejstrup,L_Henrik_Boelsgaard,Henrik Boelsgaard,Fælleslisten,2
Ikast,1,Ejstrup,L_Allan_Nielsen,Allan Nielsen,Fælleslisten,1
Ikast,1,Ejstrup,L_Lasse_Haahr,Lasse Haahr,Fælleslisten,0
Ikast,1,Ejstrup,L_Mads_Hviid,Mads Hviid,Fælleslisten,0
Ikast,1,Ejstrup,L_Bjørn_Topbjerg,Bjørn Topbjerg,Fælleslisten,1
Ikast,1,Ejstrup,O_Listestemmer,Listestemmer,Dansk Folkeparti,26
Ikast,1,Ejstrup,O_Simon_Vanggaard,Simon Vanggaard,Dansk Folkeparti,76
Ikast,1,Ejstrup,O_Trine_Meldgaard_Kristensen,Trine Meldgaard Kristensen,Dansk Folkeparti,6
Ikast,1,Ejstrup,O_Bo_Sand_Kristensen,Bo Sand Kristensen,Dansk Folkeparti,4
Ikast,1,Ejstrup,O_Mikael_Würtz,Mikael Würtz,Dansk Folkeparti,2
Ikast,1,Ejstrup,O_Tina_Ostersen,Tina Ostersen,Dansk Folkeparti,4
Ikast,1,Ejstrup,O_Jytte_Graversen,Jytte Graversen,Dansk Folkeparti,22
Ikast,1,Ejstrup,O_Peder_Fenger,Peder Fenger,Dansk Folkeparti,3
Ikast,1,Ejstrup,O_H.C._Hansen,H.C. Hansen,Dansk Folkeparti,1
Ikast,1,Ejstrup,O_Jens_Laursen,Jens Laursen,Dansk Folkeparti,1
Ikast,1,Ejstrup,O_Finn_Brostrup,Finn Brostrup,Dansk Folkeparti,6
Ikast,1,Ejstrup,O_Dan_Albrechtsen,Dan Albrechtsen,Dansk Folkeparti,0
Ikast,1,Ejstrup,V_Listestemmer,Listestemmer,"Venstre, Danmarks Liberale Parti",30
Ikast,1,Ejstrup,V_Ib_Lauritsen,Ib Lauritsen,"Venstre, Danmarks Liberale Parti",33
Ikast,1,Ejstrup,V_Jens_Peter_Bak,Jens Peter Bak,"Venstre, Danmarks Liberale Parti",23
Ikast,1,Ejstrup,V_Katri_Berg,Katri Berg,"Venstre, Danmarks Liberale Parti",1
Ikast,1,Ejstrup,V_Gert_Bækgaard,Gert Bækgaard,"Venstre, Danmarks Liberale Parti",1
Ikast,1,Ejstrup,V_Henrik_Christiansen,Henrik Christiansen,"Venstre, Danmarks Liberale Parti",0
Ikast,1,Ejstrup,V_Stig_Døssing,Stig Døssing,"Venstre, Danmarks Liberale Parti",2
Ikast,1,Ejstrup,V_Henrik_Engedahl,Henrik Engedahl,"Venstre, Danmarks Liberale Parti",8
Ikast,1,Ejstrup,V_Palle_Høj,Palle Høj,"Venstre, Danmarks Liberale Parti",5
Ikast,1,Ejstrup,V_Thyge_Lønne_Jensen,Thyge Lønne Jensen,"Venstre, Danmarks Liberale Parti",2
Ikast,1,Ejstrup,V_Laila_Leerholm,Laila Leerholm,"Venstre, Danmarks Liberale Parti",1
Ikast,1,Ejstrup,V_Lars_Lyhne,Lars Lyhne,"Venstre, Danmarks Liberale Parti",2
Ikast,1,Ejstrup,V_Helle_Mathiasen,Helle Mathiasen,"Venstre, Danmarks Liberale Parti",297
Ikast,1,Ejstrup,V_Anne-Marie_Kragsig_Pedersen,Anne-Marie Kragsig Pedersen,"Venstre, Danmarks Liberale Parti",1
Ikast,1,Ejstrup,V_Frank_Thygesen,Frank Thygesen,"Venstre, Danmarks Liberale Parti",2
Ikast,1,Ejstrup,V_Andreas_Würtz,Andreas Würtz,"Venstre, Danmarks Liberale Parti",9
Ikast,1,Ejstrup,V_Thomas_Østergaard,Thomas Østergaard,"Venstre, Danmarks Liberale Parti",14
Ikast,1,Ejstrup,Æ_Listestemmer,Listestemmer,Frihedslisten,1
Ikast,1,Ejstrup,Æ_Kirsten_Merrild,Kirsten Merrild,Frihedslisten,2
Ikast,1,Ejstrup,Æ_Elisabeth_Victoria_Muhlig,Elisabeth Victoria Muhlig,Frihedslisten,0
Ikast,1,Ejstrup,Ø_Listestemmer,Listestemmer,Enhedslisten - De Rød-Grønne,9
Ikast,1,Ejstrup,Ø_Charlotte_Kold,Charlotte Kold,Enhedslisten - De Rød-Grønne,8
Ikast,2,Gludsted,A_Listestemmer,Listestemmer,Socialdemokratiet,11
Ikast,2,Gludsted,A_Kasper_Pauli_Pedersen,Kasper Pauli Pedersen,Socialdemokratiet,8
Ikast,2,Gludsted,A_Søs_Philipsen,Søs Philipsen,Socialdemokratiet,1
Ikast,2,Gludsted,A_Birthe_Sørensen,Birthe Sørensen,Socialdemokratiet,3
Ikast,2,Gludsted,A_H.C._Jørgensen,H.C. Jørgensen,Socialdemokratiet,1
Ikast,2,Gludsted,A_Kirsten_Hoffmann,Kirsten Hoffmann,Socialdemokratiet,100
Ikast,2,Gludsted,A_Mustafa_Arslan,Mustafa Arslan,Socialdemokratiet,0
Ikast,2,Gludsted,A_Yildiz_Kibar,Yildiz Kibar,Socialdemokratiet,1
Ikast,2,Gludsted,A_Joan_Højlund,Joan Højlund,Socialdemokratiet,1
Ikast,2,Gludsted,A_Helle_Regine_Drongstrup,Helle Regine Drongstrup,Socialdemokratiet,3
Ikast,2,Gludsted,A_Henrik_Christensen,Henrik Christensen,Socialdemokratiet,0
Ikast,2,Gludsted,A_Inge_Dinis,Inge Dinis,Socialdemokratiet,3
Ikast,2,Gludsted,A_Peter_Bjerregaard,Peter Bjerregaard,Socialdemokratiet,0
Ikast,2,Gludsted,A_Eddie_Sørensen,Eddie Sørensen,Socialdemokratiet,0
Ikast,2,Gludsted,A_Jacob_Rosen_Madsen,Jacob Rosen Madsen,Socialdemokratiet,34
Ikast,2,Gludsted,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,14
Ikast,2,Gludsted,C_Annette_Mosegaard,Annette Mosegaard,Det Konservative Folkeparti,32
Ikast,2,Gludsted,C_Kirsten_York_Helms,Kirsten York Helms,Det Konservative Folkeparti,3
Ikast,2,Gludsted,C_Heinrich_Rune,Heinrich Rune,Det Konservative Folkeparti,0
Ikast,2,Gludsted,C_Dina_Raabjerg,Dina Raabjerg,Det Konservative Folkeparti,2
Ikast,2,Gludsted,C_Annette_Øgaard,Annette Øgaard,Det Konservative Folkeparti,21
Ikast,2,Gludsted,C_Peter_Søgaard,Peter Søgaard,Det Konservative Folkeparti,1
Ikast,2,Gludsted,C_Morten_Munk_Østergaard,Morten Munk Østergaard,Det Konservative Folkeparti,0
Ikast,2,Gludsted,C_Per_Abildskov,Per Abildskov,Det Konservative Folkeparti,1
Ikast,2,Gludsted,C_Siff_Tang_Lassen,Siff Tang Lassen,Det Konservative Folkeparti,0
Ikast,2,Gludsted,C_Henrik_Overgaard,Henrik Overgaard,Det Konservative Folkeparti,4
Ikast,2,Gludsted,C_Hanne_Bang_Pedersen,Hanne Bang Pedersen,Det Konservative Folkeparti,3
Ikast,2,Gludsted,C_Ditte_Mundbjerg_Jørgensen,Ditte Mundbjerg Jørgensen,Det Konservative Folkeparti,0
Ikast,2,Gludsted,D_Listestemmer,Listestemmer,Nye Borgerlige,6
Ikast,2,Gludsted,D_Bruno_Ostenfeldt_Jensen,Bruno Ostenfeldt Jensen,Nye Borgerlige,18
Ikast,2,Gludsted,D_Tommy_Høgh_Vestergaard,Tommy Høgh Vestergaard,Nye Borgerlige,6
Ikast,2,Gludsted,F_Listestemmer,Listestemmer,SF - Socialistisk Folkeparti,0
Ikast,2,Gludsted,F_Emma_Thorup_Jacobsen,Emma Thorup Jacobsen,SF - Socialistisk Folkeparti,7
Ikast,2,Gludsted,F_Karina_Gudmann,Karina Gudmann,SF - Socialistisk Folkeparti,0
Ikast,2,Gludsted,K_Listestemmer,Listestemmer,Kristendemokraterne,5
Ikast,2,Gludsted,K_Jens_Erik_Skals,Jens Erik Skals,Kristendemokraterne,24
Ikast,2,Gludsted,K_Finn_Vestergaard,Finn Vestergaard,Kristendemokraterne,0
Ikast,2,Gludsted,K_Willy_Højgård,Willy Højgård,Kristendemokraterne,0
Ikast,2,Gludsted,K_Torsteen_Nielsen,Torsteen Nielsen,Kristendemokraterne,1
Ikast,2,Gludsted,K_Svend-Erik_Hansen,Svend-Erik Hansen,Kristendemokraterne,1
Ikast,2,Gludsted,K_Danny_Bonn_Pedersen,Danny Bonn Pedersen,Kristendemokraterne,1
Ikast,2,Gludsted,K_Albert_Poulsen,Albert Poulsen,Kristendemokraterne,0
Ikast,2,Gludsted,K_Annet_Mesnickow,Annet Mesnickow,Kristendemokraterne,0
Ikast,2,Gludsted,L_Listestemmer,Listestemmer,Fælleslisten,0
Ikast,2,Gludsted,L_Morten_Bak,Morten Bak,Fælleslisten,0
Ikast,2,Gludsted,L_Lotte_Stoltenborg,Lotte Stoltenborg,Fælleslisten,1
Ikast,2,Gludsted,L_Morten_Colbert,Morten Colbert,Fælleslisten,1
Ikast,2,Gludsted,L_Rune_Lyager,Rune Lyager,Fælleslisten,2
Ikast,2,Gludsted,L_Henrik_Boelsgaard,Henrik Boelsgaard,Fælleslisten,4
Ikast,2,Gludsted,L_Allan_Nielsen,Allan Nielsen,Fælleslisten,0
Ikast,2,Gludsted,L_Lasse_Haahr,Lasse Haahr,Fælleslisten,0
Ikast,2,Gludsted,L_Mads_Hviid,Mads Hviid,Fælleslisten,0
Ikast,2,Gludsted,L_Bjørn_Topbjerg,Bjørn Topbjerg,Fælleslisten,0
Ikast,2,Gludsted,O_Listestemmer,Listestemmer,Dansk Folkeparti,13
Ikast,2,Gludsted,O_Simon_Vanggaard,Simon Vanggaard,Dansk Folkeparti,41
Ikast,2,Gludsted,O_Trine_Meldgaard_Kristensen,Trine Meldgaard Kristensen,Dansk Folkeparti,4
Ikast,2,Gludsted,O_Bo_Sand_Kristensen,Bo Sand Kristensen,Dansk Folkeparti,1
Ikast,2,Gludsted,O_Mikael_Würtz,Mikael Würtz,Dansk Folkeparti,0
Ikast,2,Gludsted,O_Tina_Ostersen,Tina Ostersen,Dansk Folkeparti,1
Ikast,2,Gludsted,O_Jytte_Graversen,Jytte Graversen,Dansk Folkeparti,4
Ikast,2,Gludsted,O_Peder_Fenger,Peder Fenger,Dansk Folkeparti,0
Ikast,2,Gludsted,O_H.C._Hansen,H.C. Hansen,Dansk Folkeparti,0
Ikast,2,Gludsted,O_Jens_Laursen,Jens Laursen,Dansk Folkeparti,0
Ikast,2,Gludsted,O_Finn_Brostrup,Finn Brostrup,Dansk Folkeparti,5
Ikast,2,Gludsted,O_Dan_Albrechtsen,Dan Albrechtsen,Dansk Folkeparti,0
Ikast,2,Gludsted,V_Listestemmer,Listestemmer,"Venstre, Danmarks Liberale Parti",24
Ikast,2,Gludsted,V_Ib_Lauritsen,Ib Lauritsen,"Venstre, Danmarks Liberale Parti",17
Ikast,2,Gludsted,V_Jens_Peter_Bak,Jens Peter Bak,"Venstre, Danmarks Liberale Parti",32
Ikast,2,Gludsted,V_Katri_Berg,Katri Berg,"Venstre, Danmarks Liberale Parti",1
Ikast,2,Gludsted,V_Gert_Bækgaard,Gert Bækgaard,"Venstre, Danmarks Liberale Parti",1
Ikast,2,Gludsted,V_Henrik_Christiansen,Henrik Christiansen,"Venstre, Danmarks Liberale Parti",0
Ikast,2,Gludsted,V_Stig_Døssing,Stig Døssing,"Venstre, Danmarks Liberale Parti",5
Ikast,2,Gludsted,V_Henrik_Engedahl,Henrik Engedahl,"Venstre, Danmarks Liberale Parti",2
Ikast,2,Gludsted,V_Palle_Høj,Palle Høj,"Venstre, Danmarks Liberale Parti",3
Ikast,2,Gludsted,V_Thyge_Lønne_Jensen,Thyge Lønne Jensen,"Venstre, Danmarks Liberale Parti",2
Ikast,2,Gludsted,V_Laila_Leerholm,Laila Leerholm,"Venstre, Danmarks Liberale Parti",2
Ikast,2,Gludsted,V_Lars_Lyhne,Lars Lyhne,"Venstre, Danmarks Liberale Parti",0
Ikast,2,Gludsted,V_Helle_Mathiasen,Helle Mathiasen,"Venstre, Danmarks Liberale Parti",23
Ikast,2,Gludsted,V_Anne-Marie_Kragsig_Pedersen,Anne-Marie Kragsig Pedersen,"Venstre, Danmarks Liberale Parti",0
Ikast,2,Gludsted,V_Frank_Thygesen,Frank Thygesen,"Venstre, Danmarks Liberale Parti",5
Ikast,2,Gludsted,V_Andreas_Würtz,Andreas Würtz,"Venstre, Danmarks Liberale Parti",1
Ikast,2,Gludsted,V_Thomas_Østergaard,Thomas Østergaard,"Venstre, Danmarks Liberale Parti",1
Ikast,2,Gludsted,Æ_Listestemmer,Listestemmer,Frihedslisten,2
Ikast,2,Gludsted,Æ_Kirsten_Merrild,Kirsten Merrild,Frihedslisten,0
Ikast,2,Gludsted,Æ_Elisabeth_Victoria_Muhlig,Elisabeth Victoria Muhlig,Frihedslisten,0
Ikast,2,Gludsted,Ø_Listestemmer,Listestemmer,Enhedslisten - De Rød-Grønne,5
Ikast,2,Gludsted,Ø_Charlotte_Kold,Charlotte Kold,Enhedslisten - De Rød-Grønne,7
Ikast,3,Nørre Snede,A_Listestemmer,Listestemmer,Socialdemokratiet,107
Ikast,3,Nørre Snede,A_Kasper_Pauli_Pedersen,Kasper Pauli Pedersen,Socialdemokratiet,34
Ikast,3,Nørre Snede,A_Søs_Philipsen,Søs Philipsen,Socialdemokratiet,11
Ikast,3,Nørre Snede,A_Birthe_Sørensen,Birthe Sørensen,Socialdemokratiet,4
Ikast,3,Nørre Snede,A_H.C._Jørgensen,H.C. Jørgensen,Socialdemokratiet,2
Ikast,3,Nørre Snede,A_Kirsten_Hoffmann,Kirsten Hoffmann,Socialdemokratiet,76
Ikast,3,Nørre Snede,A_Mustafa_Arslan,Mustafa Arslan,Socialdemokratiet,3
Ikast,3,Nørre Snede,A_Yildiz_Kibar,Yildiz Kibar,Socialdemokratiet,1
Ikast,3,Nørre Snede,A_Joan_Højlund,Joan Højlund,Socialdemokratiet,4
Ikast,3,Nørre Snede,A_Helle_Regine_Drongstrup,Helle Regine Drongstrup,Socialdemokratiet,26
Ikast,3,Nørre Snede,A_Henrik_Christensen,Henrik Christensen,Socialdemokratiet,1
Ikast,3,Nørre Snede,A_Inge_Dinis,Inge Dinis,Socialdemokratiet,5
Ikast,3,Nørre Snede,A_Peter_Bjerregaard,Peter Bjerregaard,Socialdemokratiet,0
Ikast,3,Nørre Snede,A_Eddie_Sørensen,Eddie Sørensen,Socialdemokratiet,2
Ikast,3,Nørre Snede,A_Jacob_Rosen_Madsen,Jacob Rosen Madsen,Socialdemokratiet,12
Ikast,3,Nørre Snede,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,40
Ikast,3,Nørre Snede,C_Annette_Mosegaard,Annette Mosegaard,Det Konservative Folkeparti,36
Ikast,3,Nørre Snede,C_Kirsten_York_Helms,Kirsten York Helms,Det Konservative Folkeparti,10
Ikast,3,Nørre Snede,C_Heinrich_Rune,Heinrich Rune,Det Konservative Folkeparti,0
Ikast,3,Nørre Snede,C_Dina_Raabjerg,Dina Raabjerg,Det Konservative Folkeparti,6
Ikast,3,Nørre Snede,C_Annette_Øgaard,Annette Øgaard,Det Konservative Folkeparti,39
Ikast,3,Nørre Snede,C_Peter_Søgaard,Peter Søgaard,Det Konservative Folkeparti,1
Ikast,3,Nørre Snede,C_Morten_Munk_Østergaard,Morten Munk Østergaard,Det Konservative Folkeparti,0
Ikast,3,Nørre Snede,C_Per_Abildskov,Per Abildskov,Det Konservative Folkeparti,0
Ikast,3,Nørre Snede,C_Siff_Tang_Lassen,Siff Tang Lassen,Det Konservative Folkeparti,4
Ikast,3,Nørre Snede,C_Henrik_Overgaard,Henrik Overgaard,Det Konservative Folkeparti,7
Ikast,3,Nørre Snede,C_Hanne_Bang_Pedersen,Hanne Bang Pedersen,Det Konservative Folkeparti,59
Ikast,3,Nørre Snede,C_Ditte_Mundbjerg_Jørgensen,Ditte Mundbjerg Jørgensen,Det Konservative Folkeparti,4
Ikast,3,Nørre Snede,D_Listestemmer,Listestemmer,Nye Borgerlige,20
Ikast,3,Nørre Snede,D_Bruno_Ostenfeldt_Jensen,Bruno Ostenfeldt Jensen,Nye Borgerlige,25
Ikast,3,Nørre Snede,D_Tommy_Høgh_Vestergaard,Tommy Høgh Vestergaard,Nye Borgerlige,7
Ikast,3,Nørre Snede,F_Listestemmer,Listestemmer,SF - Socialistisk Folkeparti,25
Ikast,3,Nørre Snede,F_Emma_Thorup_Jacobsen,Emma Thorup Jacobsen,SF - Socialistisk Folkeparti,31
Ikast,3,Nørre Snede,F_Karina_Gudmann,Karina Gudmann,SF - Socialistisk Folkeparti,7
Ikast,3,Nørre Snede,K_Listestemmer,Listestemmer,Kristendemokraterne,4
Ikast,3,Nørre Snede,K_Jens_Erik_Skals,Jens Erik Skals,Kristendemokraterne,17
Ikast,3,Nørre Snede,K_Finn_Vestergaard,Finn Vestergaard,Kristendemokraterne,4
Ikast,3,Nørre Snede,K_Willy_Højgård,Willy Højgård,Kristendemokraterne,0
Ikast,3,Nørre Snede,K_Torsteen_Nielsen,Torsteen Nielsen,Kristendemokraterne,0
Ikast,3,Nørre Snede,K_Svend-Erik_Hansen,Svend-Erik Hansen,Kristendemokraterne,1
Ikast,3,Nørre Snede,K_Danny_Bonn_Pedersen,Danny Bonn Pedersen,Kristendemokraterne,3
Ikast,3,Nørre Snede,K_Albert_Poulsen,Albert Poulsen,Kristendemokraterne,1
Ikast,3,Nørre Snede,K_Annet_Mesnickow,Annet Mesnickow,Kristendemokraterne,0
Ikast,3,Nørre Snede,L_Listestemmer,Listestemmer,Fælleslisten,1
Ikast,3,Nørre Snede,L_Morten_Bak,Morten Bak,Fælleslisten,0
Ikast,3,Nørre Snede,L_Lotte_Stoltenborg,Lotte Stoltenborg,Fælleslisten,3
Ikast,3,Nørre Snede,L_Morten_Colbert,Morten Colbert,Fælleslisten,3
Ikast,3,Nørre Snede,L_Rune_Lyager,Rune Lyager,Fælleslisten,0
Ikast,3,Nørre Snede,L_Henrik_Boelsgaard,Henrik Boelsgaard,Fælleslisten,0
Ikast,3,Nørre Snede,L_Allan_Nielsen,Allan Nielsen,Fælleslisten,0
Ikast,3,Nørre Snede,L_Lasse_Haahr,Lasse Haahr,Fælleslisten,0
Ikast,3,Nørre Snede,L_Mads_Hviid,Mads Hviid,Fælleslisten,0
Ikast,3,Nørre Snede,L_Bjørn_Topbjerg,Bjørn Topbjerg,Fælleslisten,0
Ikast,3,Nørre Snede,O_Listestemmer,Listestemmer,Dansk Folkeparti,34
Ikast,3,Nørre Snede,O_Simon_Vanggaard,Simon Vanggaard,Dansk Folkeparti,61
Ikast,3,Nørre Snede,O_Trine_Meldgaard_Kristensen,Trine Meldgaard Kristensen,Dansk Folkeparti,9
Ikast,3,Nørre Snede,O_Bo_Sand_Kristensen,Bo Sand Kristensen,Dansk Folkeparti,3
Ikast,3,Nørre Snede,O_Mikael_Würtz,Mikael Würtz,Dansk Folkeparti,2
Ikast,3,Nørre Snede,O_Tina_Ostersen,Tina Ostersen,Dansk Folkeparti,3
Ikast,3,Nørre Snede,O_Jytte_Graversen,Jytte Graversen,Dansk Folkeparti,17
Ikast,3,Nørre Snede,O_Peder_Fenger,Peder Fenger,Dansk Folkeparti,0
Ikast,3,Nørre Snede,O_H.C._Hansen,H.C. Hansen,Dansk Folkeparti,0
Ikast,3,Nørre Snede,O_Jens_Laursen,Jens Laursen,Dansk Folkeparti,0
Ikast,3,Nørre Snede,O_Finn_Brostrup,Finn Brostrup,Dansk Folkeparti,111
Ikast,3,Nørre Snede,O_Dan_Albrechtsen,Dan Albrechtsen,Dansk Folkeparti,0
Ikast,3,Nørre Snede,V_Listestemmer,Listestemmer,"Venstre, Danmarks Liberale Parti",46
Ikast,3,Nørre Snede,V_Ib_Lauritsen,Ib Lauritsen,"Venstre, Danmarks Liberale Parti",34
Ikast,3,Nørre Snede,V_Jens_Peter_Bak,Jens Peter Bak,"Venstre, Danmarks Liberale Parti",11
Ikast,3,Nørre Snede,V_Katri_Berg,Katri Berg,"Venstre, Danmarks Liberale Parti",1
Ikast,3,Nørre Snede,V_Gert_Bækgaard,Gert Bækgaard,"Venstre, Danmarks Liberale Parti",0
Ikast,3,Nørre Snede,V_Henrik_Christiansen,Henrik Christiansen,"Venstre, Danmarks Liberale Parti",7
Ikast,3,Nørre Snede,V_Stig_Døssing,Stig Døssing,"Venstre, Danmarks Liberale Parti",6
Ikast,3,Nørre Snede,V_Henrik_Engedahl,Henrik Engedahl,"Venstre, Danmarks Liberale Parti",3
Ikast,3,Nørre Snede,V_Palle_Høj,Palle Høj,"Venstre, Danmarks Liberale Parti",0
Ikast,3,Nørre Snede,V_Thyge_Lønne_Jensen,Thyge Lønne Jensen,"Venstre, Danmarks Liberale Parti",1
Ikast,3,Nørre Snede,V_Laila_Leerholm,Laila Leerholm,"Venstre, Danmarks Liberale Parti",3
Ikast,3,Nørre Snede,V_Lars_Lyhne,Lars Lyhne,"Venstre, Danmarks Liberale Parti",3
Ikast,3,Nørre Snede,V_Helle_Mathiasen,Helle Mathiasen,"Venstre, Danmarks Liberale Parti",44
Ikast,3,Nørre Snede,V_Anne-Marie_Kragsig_Pedersen,Anne-Marie Kragsig Pedersen,"Venstre, Danmarks Liberale Parti",1
Ikast,3,Nørre Snede,V_Frank_Thygesen,Frank Thygesen,"Venstre, Danmarks Liberale Parti",139
Ikast,3,Nørre Snede,V_Andreas_Würtz,Andreas Würtz,"Venstre, Danmarks Liberale Parti",4
Ikast,3,Nørre Snede,V_Thomas_Østergaard,Thomas Østergaard,"Venstre, Danmarks Liberale Parti",3
Ikast,3,Nørre Snede,Æ_Listestemmer,Listestemmer,Frihedslisten,1
Ikast,3,Nørre Snede,Æ_Kirsten_Merrild,Kirsten Merrild,Frihedslisten,4
Ikast,3,Nørre Snede,Æ_Elisabeth_Victoria_Muhlig,Elisabeth Victoria Muhlig,Frihedslisten,3
Ikast,3,Nørre Snede,Ø_Listestemmer,Listestemmer,Enhedslisten - De Rød-Grønne,16
Ikast,3,Nørre Snede,Ø_Charlotte_Kold,Charlotte Kold,Enhedslisten - De Rød-Grønne,39
Ikast,4,Klovborg,A_Listestemmer,Listestemmer,Socialdemokratiet,27
Ikast,4,Klovborg,A_Kasper_Pauli_Pedersen,Kasper Pauli Pedersen,Socialdemokratiet,6
Ikast,4,Klovborg,A_Søs_Philipsen,Søs Philipsen,Socialdemokratiet,3
Ikast,4,Klovborg,A_Birthe_Sørensen,Birthe Sørensen,Socialdemokratiet,4
Ikast,4,Klovborg,A_H.C._Jørgensen,H.C. Jørgensen,Socialdemokratiet,1
Ikast,4,Klovborg,A_Kirsten_Hoffmann,Kirsten Hoffmann,Socialdemokratiet,15
Ikast,4,Klovborg,A_Mustafa_Arslan,Mustafa Arslan,Socialdemokratiet,2
Ikast,4,Klovborg,A_Yildiz_Kibar,Yildiz Kibar,Socialdemokratiet,1
Ikast,4,Klovborg,A_Joan_Højlund,Joan Højlund,Socialdemokratiet,0
