Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Brønderslevkredsen,1. Agersted,Partiliste,Socialdemokratiet,29
Brønderslevkredsen,1. Agersted,Ane Halsboe-Jørgensen,Socialdemokratiet,11
Brønderslevkredsen,1. Agersted,Mette Frederiksen,Socialdemokratiet,88
Brønderslevkredsen,1. Agersted,Per Husted,Socialdemokratiet,1
Brønderslevkredsen,1. Agersted,Morten Klessen,Socialdemokratiet,2
Brønderslevkredsen,1. Agersted,Simon Kollerup,Socialdemokratiet,1
Brønderslevkredsen,1. Agersted,Bjarne Laustsen,Socialdemokratiet,14
Brønderslevkredsen,1. Agersted,Flemming Møller Mortensen,Socialdemokratiet,3
Brønderslevkredsen,1. Agersted,Rasmus Prehn,Socialdemokratiet,0
Brønderslevkredsen,1. Agersted,Morten Ryom,Socialdemokratiet,5
Brønderslevkredsen,1. Agersted,Partiliste,Radikale Venstre,0
Brønderslevkredsen,1. Agersted,Bjarne Axelsen,Radikale Venstre,0
Brønderslevkredsen,1. Agersted,Daniel Nyboe Andersen,Radikale Venstre,0
Brønderslevkredsen,1. Agersted,Christian Friis Bach,Radikale Venstre,1
Brønderslevkredsen,1. Agersted,Charlotte Amdi Burgess,Radikale Venstre,0
Brønderslevkredsen,1. Agersted,Pia Elberg,Radikale Venstre,0
Brønderslevkredsen,1. Agersted,Steffen Holme Helledie,Radikale Venstre,0
Brønderslevkredsen,1. Agersted,Julius Bjørn Honoré,Radikale Venstre,0
Brønderslevkredsen,1. Agersted,Dorthe Kerschus,Radikale Venstre,4
Brønderslevkredsen,1. Agersted,Partiliste,Det Konservative Folkeparti,3
Brønderslevkredsen,1. Agersted,Mia Tang,Det Konservative Folkeparti,0
Brønderslevkredsen,1. Agersted,Lene Burchardt,Det Konservative Folkeparti,3
Brønderslevkredsen,1. Agersted,Mikkel Højsleth,Det Konservative Folkeparti,0
Brønderslevkredsen,1. Agersted,Lene Brix Kjelgaard Jensen,Det Konservative Folkeparti,0
Brønderslevkredsen,1. Agersted,Mette Jensen,Det Konservative Folkeparti,2
Brønderslevkredsen,1. Agersted,Jens-Henrik Kirk,Det Konservative Folkeparti,0
Brønderslevkredsen,1. Agersted,Per Larsen,Det Konservative Folkeparti,4
Brønderslevkredsen,1. Agersted,Alexander Klitgaard,Det Konservative Folkeparti,0
Brønderslevkredsen,1. Agersted,Jakob Axel Nielsen,Det Konservative Folkeparti,2
Brønderslevkredsen,1. Agersted,Karsten Skov Petersen,Det Konservative Folkeparti,0
Brønderslevkredsen,1. Agersted,Partiliste,Nye Borgerlige,9
Brønderslevkredsen,1. Agersted,Kim Edberg Andersen,Nye Borgerlige,11
Brønderslevkredsen,1. Agersted,John Bjerg,Nye Borgerlige,4
Brønderslevkredsen,1. Agersted,Brian Nielsen,Nye Borgerlige,0
Brønderslevkredsen,1. Agersted,Sysser Nørholm,Nye Borgerlige,2
Brønderslevkredsen,1. Agersted,Lars Rem,Nye Borgerlige,0
Brønderslevkredsen,1. Agersted,Partiliste,SF - Socialistisk Folkeparti,17
Brønderslevkredsen,1. Agersted,Theresa Berg Andersen,SF - Socialistisk Folkeparti,3
Brønderslevkredsen,1. Agersted,Melina Andersen,SF - Socialistisk Folkeparti,3
Brønderslevkredsen,1. Agersted,Benjamin Jørgensen,SF - Socialistisk Folkeparti,0
Brønderslevkredsen,1. Agersted,Thorkil Olesen,SF - Socialistisk Folkeparti,0
Brønderslevkredsen,1. Agersted,Thomas Kjeldsen,SF - Socialistisk Folkeparti,0
Brønderslevkredsen,1. Agersted,Dorte M. Nielsen,SF - Socialistisk Folkeparti,0
Brønderslevkredsen,1. Agersted,Lasse Hjorthøj Jensen,SF - Socialistisk Folkeparti,0
Brønderslevkredsen,1. Agersted,Henning Jørgensen,SF - Socialistisk Folkeparti,0
Brønderslevkredsen,1. Agersted,Peder Larsen,SF - Socialistisk Folkeparti,0
Brønderslevkredsen,1. Agersted,Partiliste,Liberal Alliance,16
Brønderslevkredsen,1. Agersted,Sólbjørg Jakobsen,Liberal Alliance,7
Brønderslevkredsen,1. Agersted,HP Beck,Liberal Alliance,0
Brønderslevkredsen,1. Agersted,Bo Ritterbusch,Liberal Alliance,3
Brønderslevkredsen,1. Agersted,Kenneth Skatka Hammer,Liberal Alliance,0
Brønderslevkredsen,1. Agersted,Michel Thrysøe,Liberal Alliance,0
Brønderslevkredsen,1. Agersted,Hans-Henning Terp-Hansen,Liberal Alliance,0
Brønderslevkredsen,1. Agersted,Jonas Jensen,Liberal Alliance,0
Brønderslevkredsen,1. Agersted,Victor Horsted,Liberal Alliance,0
Brønderslevkredsen,1. Agersted,Ronny Van Tieu,Liberal Alliance,0
Brønderslevkredsen,1. Agersted,Martin Bech,Liberal Alliance,1
Brønderslevkredsen,1. Agersted,Agnethe Benedikt Mørch,Liberal Alliance,0
Brønderslevkredsen,1. Agersted,Partiliste,KD - Kristendemokraterne,1
Brønderslevkredsen,1. Agersted,Jørgen Bjerregaard,KD - Kristendemokraterne,0
Brønderslevkredsen,1. Agersted,Karlo Brondbjerg,KD - Kristendemokraterne,0
Brønderslevkredsen,1. Agersted,Britta Eckhardt,KD - Kristendemokraterne,1
Brønderslevkredsen,1. Agersted,Anne-Marie Jørgensen,KD - Kristendemokraterne,0
Brønderslevkredsen,1. Agersted,Peter Scheining,KD - Kristendemokraterne,0
Brønderslevkredsen,1. Agersted,Partiliste,Moderaterne,16
Brønderslevkredsen,1. Agersted,Kristian Klarskov,Moderaterne,5
Brønderslevkredsen,1. Agersted,Mohammad Rona,Moderaterne,0
Brønderslevkredsen,1. Agersted,Dina Mofidi,Moderaterne,0
Brønderslevkredsen,1. Agersted,Rikke Pedersen,Moderaterne,0
Brønderslevkredsen,1. Agersted,Partiliste,Dansk Folkeparti,9
Brønderslevkredsen,1. Agersted,Carsten Ullmann Andersen,Dansk Folkeparti,0
Brønderslevkredsen,1. Agersted,Nana Harring,Dansk Folkeparti,1
Brønderslevkredsen,1. Agersted,Christian Langballe,Dansk Folkeparti,1
Brønderslevkredsen,1. Agersted,Per Michael Hauritz,Dansk Folkeparti,1
Brønderslevkredsen,1. Agersted,Kasper Sørmer-Sørensen,Dansk Folkeparti,1
Brønderslevkredsen,1. Agersted,Partiliste,Frie Grønne,0
Brønderslevkredsen,1. Agersted,Susanne Zimmer,Frie Grønne,1
Brønderslevkredsen,1. Agersted,Esra Ocak,Frie Grønne,0
Brønderslevkredsen,1. Agersted,Ayan Farah,Frie Grønne,0
Brønderslevkredsen,1. Agersted,Partiliste,"Venstre, Danmarks Liberale Parti",15
Brønderslevkredsen,1. Agersted,Maja Torp,"Venstre, Danmarks Liberale Parti",12
Brønderslevkredsen,1. Agersted,Marie Bjerre,"Venstre, Danmarks Liberale Parti",6
Brønderslevkredsen,1. Agersted,Henrik Buchhave,"Venstre, Danmarks Liberale Parti",0
Brønderslevkredsen,1. Agersted,Mette Hardam,"Venstre, Danmarks Liberale Parti",3
Brønderslevkredsen,1. Agersted,Preben Bang Henriksen,"Venstre, Danmarks Liberale Parti",21
Brønderslevkredsen,1. Agersted,Anita Vivi Lilholt,"Venstre, Danmarks Liberale Parti",0
Brønderslevkredsen,1. Agersted,Torsten Schack Pedersen,"Venstre, Danmarks Liberale Parti",0
Brønderslevkredsen,1. Agersted,Phillip Sperling,"Venstre, Danmarks Liberale Parti",0
Brønderslevkredsen,1. Agersted,Anne Honoré Østergaard,"Venstre, Danmarks Liberale Parti",3
Brønderslevkredsen,1. Agersted,Partiliste,Danmarksdemokraterne,17
Brønderslevkredsen,1. Agersted,Inger Støjberg,Danmarksdemokraterne,104
Brønderslevkredsen,1. Agersted,Peter Lindholt,Danmarksdemokraterne,3
Brønderslevkredsen,1. Agersted,Lise Bech,Danmarksdemokraterne,1
Brønderslevkredsen,1. Agersted,Kristian Bøgsted,Danmarksdemokraterne,1
Brønderslevkredsen,1. Agersted,Partiliste,Enhedslisten - De Rød-Grønne,10
Brønderslevkredsen,1. Agersted,Runa Friis Hansen,Enhedslisten - De Rød-Grønne,0
Brønderslevkredsen,1. Agersted,Peder Hvelplund,Enhedslisten - De Rød-Grønne,3
Brønderslevkredsen,1. Agersted,Astrid Vang Hansen,Enhedslisten - De Rød-Grønne,0
Brønderslevkredsen,1. Agersted,Susanne Flydtkjær,Enhedslisten - De Rød-Grønne,0
Brønderslevkredsen,1. Agersted,Berit Raldin,Enhedslisten - De Rød-Grønne,0
Brønderslevkredsen,1. Agersted,Malene Ingwersen,Enhedslisten - De Rød-Grønne,0
Brønderslevkredsen,1. Agersted,Stine Ry Andersen,Enhedslisten - De Rød-Grønne,0
Brønderslevkredsen,1. Agersted,Pia Thorsen,Enhedslisten - De Rød-Grønne,0
Brønderslevkredsen,1. Agersted,Janne Toft-Lind,Enhedslisten - De Rød-Grønne,0
Brønderslevkredsen,1. Agersted,Partiliste,Alternativet,9
Brønderslevkredsen,1. Agersted,Joachim Plaetner Kjeldsen,Alternativet,0
Brønderslevkredsen,1. Agersted,Anette Jensen Smith,Alternativet,0
Brønderslevkredsen,1. Agersted,Mikkel Larsson,Alternativet,0
Brønderslevkredsen,1. Agersted,Theresa Scavenius,Alternativet,1
Brønderslevkredsen,1. Agersted,Nicklas Gjedsig,Alternativet,0
Brønderslevkredsen,1. Agersted,Mark Andrew Jewkes,Alternativet,0
Brønderslevkredsen,1. Agersted,Liselotte Jakobe Lundgaard,Alternativet,0
Brønderslevkredsen,1. Agersted,Jef Seistrup,Alternativet,0
Brønderslevkredsen,1. Agersted,Gustav Sieg Sørensen,Alternativet,0
Brønderslevkredsen,1. Agersted,Jens Harder,Alternativet,0
Brønderslevkredsen,1. Agersted,Clara Wolf,Alternativet,0
Brønderslevkredsen,1. Agersted,Jette Møller,(Uden for parti),0
Brønderslevkredsen,1. Aabybro,Partiliste,Socialdemokratiet,312
Brønderslevkredsen,1. Aabybro,Ane Halsboe-Jørgensen,Socialdemokratiet,179
Brønderslevkredsen,1. Aabybro,Mette Frederiksen,Socialdemokratiet,697
Brønderslevkredsen,1. Aabybro,Per Husted,Socialdemokratiet,5
Brønderslevkredsen,1. Aabybro,Morten Klessen,Socialdemokratiet,168
Brønderslevkredsen,1. Aabybro,Simon Kollerup,Socialdemokratiet,15
Brønderslevkredsen,1. Aabybro,Bjarne Laustsen,Socialdemokratiet,63
Brønderslevkredsen,1. Aabybro,Flemming Møller Mortensen,Socialdemokratiet,56
Brønderslevkredsen,1. Aabybro,Rasmus Prehn,Socialdemokratiet,15
Brønderslevkredsen,1. Aabybro,Morten Ryom,Socialdemokratiet,7
Brønderslevkredsen,1. Aabybro,Partiliste,Radikale Venstre,31
Brønderslevkredsen,1. Aabybro,Bjarne Axelsen,Radikale Venstre,4
Brønderslevkredsen,1. Aabybro,Daniel Nyboe Andersen,Radikale Venstre,5
Brønderslevkredsen,1. Aabybro,Christian Friis Bach,Radikale Venstre,11
Brønderslevkredsen,1. Aabybro,Charlotte Amdi Burgess,Radikale Venstre,3
Brønderslevkredsen,1. Aabybro,Pia Elberg,Radikale Venstre,5
Brønderslevkredsen,1. Aabybro,Steffen Holme Helledie,Radikale Venstre,2
Brønderslevkredsen,1. Aabybro,Julius Bjørn Honoré,Radikale Venstre,4
Brønderslevkredsen,1. Aabybro,Dorthe Kerschus,Radikale Venstre,0
Brønderslevkredsen,1. Aabybro,Partiliste,Det Konservative Folkeparti,85
Brønderslevkredsen,1. Aabybro,Mia Tang,Det Konservative Folkeparti,15
Brønderslevkredsen,1. Aabybro,Lene Burchardt,Det Konservative Folkeparti,8
Brønderslevkredsen,1. Aabybro,Mikkel Højsleth,Det Konservative Folkeparti,6
Brønderslevkredsen,1. Aabybro,Lene Brix Kjelgaard Jensen,Det Konservative Folkeparti,0
Brønderslevkredsen,1. Aabybro,Mette Jensen,Det Konservative Folkeparti,5
Brønderslevkredsen,1. Aabybro,Jens-Henrik Kirk,Det Konservative Folkeparti,1
Brønderslevkredsen,1. Aabybro,Per Larsen,Det Konservative Folkeparti,32
Brønderslevkredsen,1. Aabybro,Alexander Klitgaard,Det Konservative Folkeparti,2
Brønderslevkredsen,1. Aabybro,Jakob Axel Nielsen,Det Konservative Folkeparti,36
Brønderslevkredsen,1. Aabybro,Karsten Skov Petersen,Det Konservative Folkeparti,0
Brønderslevkredsen,1. Aabybro,Partiliste,Nye Borgerlige,49
Brønderslevkredsen,1. Aabybro,Kim Edberg Andersen,Nye Borgerlige,24
Brønderslevkredsen,1. Aabybro,John Bjerg,Nye Borgerlige,16
Brønderslevkredsen,1. Aabybro,Brian Nielsen,Nye Borgerlige,2
Brønderslevkredsen,1. Aabybro,Sysser Nørholm,Nye Borgerlige,5
Brønderslevkredsen,1. Aabybro,Lars Rem,Nye Borgerlige,0
Brønderslevkredsen,1. Aabybro,Partiliste,SF - Socialistisk Folkeparti,117
Brønderslevkredsen,1. Aabybro,Theresa Berg Andersen,SF - Socialistisk Folkeparti,37
Brønderslevkredsen,1. Aabybro,Melina Andersen,SF - Socialistisk Folkeparti,10
Brønderslevkredsen,1. Aabybro,Benjamin Jørgensen,SF - Socialistisk Folkeparti,5
Brønderslevkredsen,1. Aabybro,Thorkil Olesen,SF - Socialistisk Folkeparti,1
Brønderslevkredsen,1. Aabybro,Thomas Kjeldsen,SF - Socialistisk Folkeparti,1
Brønderslevkredsen,1. Aabybro,Dorte M. Nielsen,SF - Socialistisk Folkeparti,3
Brønderslevkredsen,1. Aabybro,Lasse Hjorthøj Jensen,SF - Socialistisk Folkeparti,0
Brønderslevkredsen,1. Aabybro,Henning Jørgensen,SF - Socialistisk Folkeparti,0
Brønderslevkredsen,1. Aabybro,Peder Larsen,SF - Socialistisk Folkeparti,2
Brønderslevkredsen,1. Aabybro,Partiliste,Liberal Alliance,273
Brønderslevkredsen,1. Aabybro,Sólbjørg Jakobsen,Liberal Alliance,57
Brønderslevkredsen,1. Aabybro,HP Beck,Liberal Alliance,7
Brønderslevkredsen,1. Aabybro,Bo Ritterbusch,Liberal Alliance,3
Brønderslevkredsen,1. Aabybro,Kenneth Skatka Hammer,Liberal Alliance,5
Brønderslevkredsen,1. Aabybro,Michel Thrysøe,Liberal Alliance,1
Brønderslevkredsen,1. Aabybro,Hans-Henning Terp-Hansen,Liberal Alliance,0
Brønderslevkredsen,1. Aabybro,Jonas Jensen,Liberal Alliance,0
Brønderslevkredsen,1. Aabybro,Victor Horsted,Liberal Alliance,2
Brønderslevkredsen,1. Aabybro,Ronny Van Tieu,Liberal Alliance,1
Brønderslevkredsen,1. Aabybro,Martin Bech,Liberal Alliance,8
Brønderslevkredsen,1. Aabybro,Agnethe Benedikt Mørch,Liberal Alliance,2
Brønderslevkredsen,1. Aabybro,Partiliste,KD - Kristendemokraterne,8
Brønderslevkredsen,1. Aabybro,Jørgen Bjerregaard,KD - Kristendemokraterne,9
Brønderslevkredsen,1. Aabybro,Karlo Brondbjerg,KD - Kristendemokraterne,2
Brønderslevkredsen,1. Aabybro,Britta Eckhardt,KD - Kristendemokraterne,3
Brønderslevkredsen,1. Aabybro,Anne-Marie Jørgensen,KD - Kristendemokraterne,2
Brønderslevkredsen,1. Aabybro,Peter Scheining,KD - Kristendemokraterne,0
Brønderslevkredsen,1. Aabybro,Partiliste,Moderaterne,265
Brønderslevkredsen,1. Aabybro,Kristian Klarskov,Moderaterne,18
Brønderslevkredsen,1. Aabybro,Mohammad Rona,Moderaterne,12
Brønderslevkredsen,1. Aabybro,Dina Mofidi,Moderaterne,9
Brønderslevkredsen,1. Aabybro,Rikke Pedersen,Moderaterne,4
Brønderslevkredsen,1. Aabybro,Partiliste,Dansk Folkeparti,48
Brønderslevkredsen,1. Aabybro,Carsten Ullmann Andersen,Dansk Folkeparti,8
Brønderslevkredsen,1. Aabybro,Nana Harring,Dansk Folkeparti,7
Brønderslevkredsen,1. Aabybro,Christian Langballe,Dansk Folkeparti,2
Brønderslevkredsen,1. Aabybro,Per Michael Hauritz,Dansk Folkeparti,0
Brønderslevkredsen,1. Aabybro,Kasper Sørmer-Sørensen,Dansk Folkeparti,2
Brønderslevkredsen,1. Aabybro,Partiliste,Frie Grønne,0
Brønderslevkredsen,1. Aabybro,Susanne Zimmer,Frie Grønne,1
Brønderslevkredsen,1. Aabybro,Esra Ocak,Frie Grønne,0
Brønderslevkredsen,1. Aabybro,Ayan Farah,Frie Grønne,0
Brønderslevkredsen,1. Aabybro,Partiliste,"Venstre, Danmarks Liberale Parti",263
Brønderslevkredsen,1. Aabybro,Maja Torp,"Venstre, Danmarks Liberale Parti",92
Brønderslevkredsen,1. Aabybro,Marie Bjerre,"Venstre, Danmarks Liberale Parti",98
Brønderslevkredsen,1. Aabybro,Henrik Buchhave,"Venstre, Danmarks Liberale Parti",8
Brønderslevkredsen,1. Aabybro,Mette Hardam,"Venstre, Danmarks Liberale Parti",3
Brønderslevkredsen,1. Aabybro,Preben Bang Henriksen,"Venstre, Danmarks Liberale Parti",267
Brønderslevkredsen,1. Aabybro,Anita Vivi Lilholt,"Venstre, Danmarks Liberale Parti",2
Brønderslevkredsen,1. Aabybro,Torsten Schack Pedersen,"Venstre, Danmarks Liberale Parti",20
Brønderslevkredsen,1. Aabybro,Phillip Sperling,"Venstre, Danmarks Liberale Parti",1
Brønderslevkredsen,1. Aabybro,Anne Honoré Østergaard,"Venstre, Danmarks Liberale Parti",50
Brønderslevkredsen,1. Aabybro,Partiliste,Danmarksdemokraterne,54
Brønderslevkredsen,1. Aabybro,Inger Støjberg,Danmarksdemokraterne,524
Brønderslevkredsen,1. Aabybro,Peter Lindholt,Danmarksdemokraterne,8
Brønderslevkredsen,1. Aabybro,Lise Bech,Danmarksdemokraterne,3
Brønderslevkredsen,1. Aabybro,Kristian Bøgsted,Danmarksdemokraterne,4
Brønderslevkredsen,1. Aabybro,Partiliste,Enhedslisten - De Rød-Grønne,27
Brønderslevkredsen,1. Aabybro,Runa Friis Hansen,Enhedslisten - De Rød-Grønne,3
Brønderslevkredsen,1. Aabybro,Peder Hvelplund,Enhedslisten - De Rød-Grønne,11
Brønderslevkredsen,1. Aabybro,Astrid Vang Hansen,Enhedslisten - De Rød-Grønne,0
Brønderslevkredsen,1. Aabybro,Susanne Flydtkjær,Enhedslisten - De Rød-Grønne,0
Brønderslevkredsen,1. Aabybro,Berit Raldin,Enhedslisten - De Rød-Grønne,0
Brønderslevkredsen,1. Aabybro,Malene Ingwersen,Enhedslisten - De Rød-Grønne,0
Brønderslevkredsen,1. Aabybro,Stine Ry Andersen,Enhedslisten - De Rød-Grønne,1
Brønderslevkredsen,1. Aabybro,Pia Thorsen,Enhedslisten - De Rød-Grønne,0
Brønderslevkredsen,1. Aabybro,Janne Toft-Lind,Enhedslisten - De Rød-Grønne,0
Brønderslevkredsen,1. Aabybro,Partiliste,Alternativet,12
Brønderslevkredsen,1. Aabybro,Joachim Plaetner Kjeldsen,Alternativet,2
Brønderslevkredsen,1. Aabybro,Anette Jensen Smith,Alternativet,0
Brønderslevkredsen,1. Aabybro,Mikkel Larsson,Alternativet,6
Brønderslevkredsen,1. Aabybro,Theresa Scavenius,Alternativet,4
Brønderslevkredsen,1. Aabybro,Nicklas Gjedsig,Alternativet,0
Brønderslevkredsen,1. Aabybro,Mark Andrew Jewkes,Alternativet,1
Brønderslevkredsen,1. Aabybro,Liselotte Jakobe Lundgaard,Alternativet,10
Brønderslevkredsen,1. Aabybro,Jef Seistrup,Alternativet,0
Brønderslevkredsen,1. Aabybro,Gustav Sieg Sørensen,Alternativet,0
Brønderslevkredsen,1. Aabybro,Jens Harder,Alternativet,1
Brønderslevkredsen,1. Aabybro,Clara Wolf,Alternativet,1
Brønderslevkredsen,1. Aabybro,Jette Møller,(Uden for parti),1
Brønderslevkredsen,2. Asaa,Partiliste,Socialdemokratiet,111
Brønderslevkredsen,2. Asaa,Ane Halsboe-Jørgensen,Socialdemokratiet,55
Brønderslevkredsen,2. Asaa,Mette Frederiksen,Socialdemokratiet,221
Brønderslevkredsen,2. Asaa,Per Husted,Socialdemokratiet,0
Brønderslevkredsen,2. Asaa,Morten Klessen,Socialdemokratiet,3
Brønderslevkredsen,2. Asaa,Simon Kollerup,Socialdemokratiet,1
Brønderslevkredsen,2. Asaa,Bjarne Laustsen,Socialdemokratiet,36
Brønderslevkredsen,2. Asaa,Flemming Møller Mortensen,Socialdemokratiet,8
Brønderslevkredsen,2. Asaa,Rasmus Prehn,Socialdemokratiet,1
Brønderslevkredsen,2. Asaa,Morten Ryom,Socialdemokratiet,4
Brønderslevkredsen,2. Asaa,Partiliste,Radikale Venstre,11
Brønderslevkredsen,2. Asaa,Bjarne Axelsen,Radikale Venstre,1
Brønderslevkredsen,2. Asaa,Daniel Nyboe Andersen,Radikale Venstre,0
Brønderslevkredsen,2. Asaa,Christian Friis Bach,Radikale Venstre,6
Brønderslevkredsen,2. Asaa,Charlotte Amdi Burgess,Radikale Venstre,0
Brønderslevkredsen,2. Asaa,Pia Elberg,Radikale Venstre,2
Brønderslevkredsen,2. Asaa,Steffen Holme Helledie,Radikale Venstre,3
Brønderslevkredsen,2. Asaa,Julius Bjørn Honoré,Radikale Venstre,0
Brønderslevkredsen,2. Asaa,Dorthe Kerschus,Radikale Venstre,0
Brønderslevkredsen,2. Asaa,Partiliste,Det Konservative Folkeparti,12
Brønderslevkredsen,2. Asaa,Mia Tang,Det Konservative Folkeparti,4
Brønderslevkredsen,2. Asaa,Lene Burchardt,Det Konservative Folkeparti,0
Brønderslevkredsen,2. Asaa,Mikkel Højsleth,Det Konservative Folkeparti,1
Brønderslevkredsen,2. Asaa,Lene Brix Kjelgaard Jensen,Det Konservative Folkeparti,0
Brønderslevkredsen,2. Asaa,Mette Jensen,Det Konservative Folkeparti,0
Brønderslevkredsen,2. Asaa,Jens-Henrik Kirk,Det Konservative Folkeparti,0
Brønderslevkredsen,2. Asaa,Per Larsen,Det Konservative Folkeparti,17
Brønderslevkredsen,2. Asaa,Alexander Klitgaard,Det Konservative Folkeparti,0
Brønderslevkredsen,2. Asaa,Jakob Axel Nielsen,Det Konservative Folkeparti,2
Brønderslevkredsen,2. Asaa,Karsten Skov Petersen,Det Konservative Folkeparti,1
Brønderslevkredsen,2. Asaa,Partiliste,Nye Borgerlige,29
Brønderslevkredsen,2. Asaa,Kim Edberg Andersen,Nye Borgerlige,24
Brønderslevkredsen,2. Asaa,John Bjerg,Nye Borgerlige,2
Brønderslevkredsen,2. Asaa,Brian Nielsen,Nye Borgerlige,2
Brønderslevkredsen,2. Asaa,Sysser Nørholm,Nye Borgerlige,0
Brønderslevkredsen,2. Asaa,Lars Rem,Nye Borgerlige,1
Brønderslevkredsen,2. Asaa,Partiliste,SF - Socialistisk Folkeparti,38
Brønderslevkredsen,2. Asaa,Theresa Berg Andersen,SF - Socialistisk Folkeparti,5
Brønderslevkredsen,2. Asaa,Melina Andersen,SF - Socialistisk Folkeparti,6
Brønderslevkredsen,2. Asaa,Benjamin Jørgensen,SF - Socialistisk Folkeparti,0
Brønderslevkredsen,2. Asaa,Thorkil Olesen,SF - Socialistisk Folkeparti,0
Brønderslevkredsen,2. Asaa,Thomas Kjeldsen,SF - Socialistisk Folkeparti,1
Brønderslevkredsen,2. Asaa,Dorte M. Nielsen,SF - Socialistisk Folkeparti,0
Brønderslevkredsen,2. Asaa,Lasse Hjorthøj Jensen,SF - Socialistisk Folkeparti,0
Brønderslevkredsen,2. Asaa,Henning Jørgensen,SF - Socialistisk Folkeparti,0
Brønderslevkredsen,2. Asaa,Peder Larsen,SF - Socialistisk Folkeparti,1
Brønderslevkredsen,2. Asaa,Partiliste,Liberal Alliance,26
Brønderslevkredsen,2. Asaa,Sólbjørg Jakobsen,Liberal Alliance,10
Brønderslevkredsen,2. Asaa,HP Beck,Liberal Alliance,2
Brønderslevkredsen,2. Asaa,Bo Ritterbusch,Liberal Alliance,1
Brønderslevkredsen,2. Asaa,Kenneth Skatka Hammer,Liberal Alliance,2
Brønderslevkredsen,2. Asaa,Michel Thrysøe,Liberal Alliance,1
Brønderslevkredsen,2. Asaa,Hans-Henning Terp-Hansen,Liberal Alliance,0
Brønderslevkredsen,2. Asaa,Jonas Jensen,Liberal Alliance,0
Brønderslevkredsen,2. Asaa,Victor Horsted,Liberal Alliance,1
Brønderslevkredsen,2. Asaa,Ronny Van Tieu,Liberal Alliance,0
Brønderslevkredsen,2. Asaa,Martin Bech,Liberal Alliance,2
Brønderslevkredsen,2. Asaa,Agnethe Benedikt Mørch,Liberal Alliance,0
Brønderslevkredsen,2. Asaa,Partiliste,KD - Kristendemokraterne,4
Brønderslevkredsen,2. Asaa,Jørgen Bjerregaard,KD - Kristendemokraterne,0
Brønderslevkredsen,2. Asaa,Karlo Brondbjerg,KD - Kristendemokraterne,1
Brønderslevkredsen,2. Asaa,Britta Eckhardt,KD - Kristendemokraterne,0
Brønderslevkredsen,2. Asaa,Anne-Marie Jørgensen,KD - Kristendemokraterne,0
Brønderslevkredsen,2. Asaa,Peter Scheining,KD - Kristendemokraterne,0
Brønderslevkredsen,2. Asaa,Partiliste,Moderaterne,29
Brønderslevkredsen,2. Asaa,Kristian Klarskov,Moderaterne,0
Brønderslevkredsen,2. Asaa,Mohammad Rona,Moderaterne,0
Brønderslevkredsen,2. Asaa,Dina Mofidi,Moderaterne,0
Brønderslevkredsen,2. Asaa,Rikke Pedersen,Moderaterne,0
Brønderslevkredsen,2. Asaa,Partiliste,Dansk Folkeparti,28
Brønderslevkredsen,2. Asaa,Carsten Ullmann Andersen,Dansk Folkeparti,2
Brønderslevkredsen,2. Asaa,Nana Harring,Dansk Folkeparti,5
Brønderslevkredsen,2. Asaa,Christian Langballe,Dansk Folkeparti,2
Brønderslevkredsen,2. Asaa,Per Michael Hauritz,Dansk Folkeparti,0
Brønderslevkredsen,2. Asaa,Kasper Sørmer-Sørensen,Dansk Folkeparti,1
Brønderslevkredsen,2. Asaa,Partiliste,Frie Grønne,1
Brønderslevkredsen,2. Asaa,Susanne Zimmer,Frie Grønne,0
Brønderslevkredsen,2. Asaa,Esra Ocak,Frie Grønne,0
Brønderslevkredsen,2. Asaa,Ayan Farah,Frie Grønne,0
Brønderslevkredsen,2. Asaa,Partiliste,"Venstre, Danmarks Liberale Parti",47
Brønderslevkredsen,2. Asaa,Maja Torp,"Venstre, Danmarks Liberale Parti",16
Brønderslevkredsen,2. Asaa,Marie Bjerre,"Venstre, Danmarks Liberale Parti",12
Brønderslevkredsen,2. Asaa,Henrik Buchhave,"Venstre, Danmarks Liberale Parti",1
Brønderslevkredsen,2. Asaa,Mette Hardam,"Venstre, Danmarks Liberale Parti",4
Brønderslevkredsen,2. Asaa,Preben Bang Henriksen,"Venstre, Danmarks Liberale Parti",45
Brønderslevkredsen,2. Asaa,Anita Vivi Lilholt,"Venstre, Danmarks Liberale Parti",2
Brønderslevkredsen,2. Asaa,Torsten Schack Pedersen,"Venstre, Danmarks Liberale Parti",0
Brønderslevkredsen,2. Asaa,Phillip Sperling,"Venstre, Danmarks Liberale Parti",0
Brønderslevkredsen,2. Asaa,Anne Honoré Østergaard,"Venstre, Danmarks Liberale Parti",3
Brønderslevkredsen,2. Asaa,Partiliste,Danmarksdemokraterne,23
Brønderslevkredsen,2. Asaa,Inger Støjberg,Danmarksdemokraterne,196
Brønderslevkredsen,2. Asaa,Peter Lindholt,Danmarksdemokraterne,2
Brønderslevkredsen,2. Asaa,Lise Bech,Danmarksdemokraterne,1
Brønderslevkredsen,2. Asaa,Kristian Bøgsted,Danmarksdemokraterne,2
Brønderslevkredsen,2. Asaa,Partiliste,Enhedslisten - De Rød-Grønne,13
Brønderslevkredsen,2. Asaa,Runa Friis Hansen,Enhedslisten - De Rød-Grønne,3
